idx,B,fx,omega_deg,omega_px,t_m
17,1,1887.6627197265625,0.45849261230395155,15.10578777508662,0.10558630360934529
17,10,1887.6627197265625,0.11013320713378334,3.6284453605553377,0.05732273595907127
17,100,1887.6627197265625,0.026940483779325293,0.8875793481053682,0.020794853794963142
17,200,1887.6627197265625,0.04653292708803654,1.533070878219085,0.02296087602780032
17,400,1887.6627197265625,0.014692935561586353,0.4840724316280657,0.018683354571666273
17,800,1887.6627197265625,0.011463580853069389,0.3776783330911357,0.018461328495002392
100,1,1887.6627197265625,0.3296462927709249,10.860623398753429,0.06502714565718032
100,10,1887.6627197265625,0.054302338800047194,1.7890415683163774,0.03591154308403595
100,100,1887.6627197265625,0.07624685919944382,2.512025140281709,0.04554452290494573
100,200,1887.6627197265625,0.04718531393764043,1.5545643838319425,0.01707475802919332
100,400,1887.6627197265625,0.012320852611420512,0.4059219493297293,0.02085754584576094
100,800,1887.6627197265625,0.016054515650264643,0.5289309566421198,0.020068930314540868
500,1,1887.6627197265625,0.05508840449813919,1.814939257088092,0.06303384286204568
500,10,1887.6627197265625,0.0686704611213462,2.2624132628065263,0.05240374087201814
500,100,1887.6627197265625,0.033602196405305755,1.1070557249833917,0.020068862118747866
500,200,1887.6627197265625,0.04711107330311191,1.5521184554550878,0.018637497798897416
500,400,1887.6627197265625,0.008556350743310737,0.2818969315432991,0.018597009964492872
500,800,1887.6627197265625,0.018631610740309782,0.6138357579128145,0.021682872522794015
1000,1,1887.6627197265625,0.2997262435392989,9.874849803907628,0.10092168831108934
1000,10,1887.6627197265625,0.16072309707005547,5.295185734420218,0.07933997421893053
1000,100,1887.6627197265625,0.07614840736910922,2.5087815474711945,0.03685417664944087
1000,200,1887.6627197265625,0.04819396397683915,1.587795320064005,0.01998704018673499
1000,400,1887.6627197265625,0.014720286287545474,0.4849735267801131,0.018096401192820806
1000,800,1887.6627197265625,0.014325327645380153,0.4719612463139468,0.021473987717429234
2000,1,1887.6627197265625,0.793552486626695,26.145996222438274,0.03125130783348161
2000,10,1887.6627197265625,0.23236304243851175,7.655458413979388,0.08032735620868622
2000,100,1887.6627197265625,0.07705379087490713,2.5386103020549684,0.03800572112273334
2000,200,1887.6627197265625,0.05367551890784604,1.7683903859231136,0.025226949094931513
2000,400,1887.6627197265625,0.015860297819573654,0.5225322691636507,0.020991404977940515
2000,800,1887.6627197265625,0.017394875273541433,0.5730903542293054,0.021754049351630837
3000,1,1887.6627197265625,0.6689501280519147,22.04018531744591,0.047096392824967234
3000,10,1887.6627197265625,0.0896266712712502,2.9528364128538134,0.05057228969330479
3000,100,1887.6627197265625,0.043890109554218716,1.4460007435038014,0.030897179292833043
3000,200,1887.6627197265625,0.0425773217084771,1.4027497028955997,0.019960686187053524
3000,400,1887.6627197265625,0.021825035463647464,0.7190461172562077,0.02207108292540636
3000,800,1887.6627197265625,0.019366063236365742,0.6380329808226917,0.023962605978017134
3800,1,1887.6627197265625,1.0368295065950701,34.16304114601,0.0263032130779379
3800,10,1887.6627197265625,0.17721997612676826,5.838695481657643,0.07098248875127423
3800,100,1887.6627197265625,0.03394325655808575,1.118292272679367,0.024918881321639757
3800,200,1887.6627197265625,0.044479641789751716,1.46542344259911,0.021351718424531624
3800,400,1887.6627197265625,0.016548585821394155,0.5452085590484057,0.018572251169714924
3800,800,1887.6627197265625,0.013868604712079983,0.45691408378372717,0.022221757207645992
